Mmar,Aana,Plit,Udel,Aarc,Agal,Aolig,Aang,Ccal,Cpal,Lboc,Pdur,Salb,Scar,Stru,HYRIV_ID,ORD_STRA,S_CaCO3_av,ele_mt_cav,ele_mt_uav,ele_mt_cmn,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_uyr,tmp_dc_cmn,tmp_dc_cmx,pre_mm_cyr,pre_mm_uyr,crp_pc_use,pst_pc_use,hft_ix_u09,continenta
0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,20584886,2,0,258,314,191,418,65,62,9,142,139,80,207,1194,1225,34,11,321,12.66456326
0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,20588485,3,0,169,271,77,342,63,61,46,143,140,85,203,1177,1216,42,9,326,11.67572537
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20583095,1,0,1071,1071,657,1288,79,79,514,102,102,37,180,1456,1456,5,8,55,14.4049793
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20581668,1,0,821,821,669,1088,85,85,46,116,116,47,196,1265,1265,7,5,226,15.0404223
0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,20586203,1,0,487,487,237,611,92,92,556,137,137,65,216,1158,1158,31,3,236,14.91402121
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20582465,3,0,650,772,396,932,89,80,106,126,118,53,208,1111,1162,17,5,88,15.62937359
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,20573077,2,0,811,1138,575,1088,98,118,113,111,94,35,197,858,982,6,7,69,16.19827408
0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,20583097,5,0,360,704,191,727,99,88,27,140,118,63,224,839,910,32,9,90,16.07152756
0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,20583851,5,0,296,694,187,371,88,88,52,144,119,67,227,857,909,33,9,89,15.96743218
0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,20586996,3,0,300,441,110,721,66,84,27,145,136,66,229,777,822,48,12,90,16.21436223
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,20580919,3,0,585,734,338,739,90,76,64,125,116,44,213,626,649,11,6,48,16.8442064
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,20579602,2,0,639,758,492,773,74,44,129,122,116,41,211,613,604,25,9,53,16.98024381
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20594770,2,0,611,678,483,748,27,22,93,130,127,51,218,830,843,26,18,102,16.69056243
0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,20603753,3,0,731,823,643,820,62,42,30,126,122,49,216,927,1004,24,7,73,16.75105792
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20588805,2,0,398,640,94,737,162,96,143,141,128,67,222,1003,1093,62,10,93,15.46520634
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,20595519,3,0,482,628,385,597,44,53,70,137,130,60,223,906,1004,71,11,110,16.29319515
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,20592088,3,0,211,393,93,406,107,120,68,143,135,84,203,1158,1249,2,4,142,11.77618464
1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,20593905,3,0,491,782,250,967,151,69,68,134,120,68,206,1242,1347,14,4,109,13.6852954
0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,20581756,5,0,480,733,260,740,124,73,40,132,116,52,219,646,678,29,9,62,16.7436601
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20578722,3,0,380,639,274,495,73,56,210,138,124,62,221,889,1017,80,12,134,15.8979924
0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,20585293,4,0,192,650,71,397,88,92,10,147,123,81,216,1109,1162,8,5,111,13.33480949
0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,20585293,4,0,192,650,71,397,88,92,10,147,123,81,216,1109,1162,8,5,111,13.33480949
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,20586894,1,0,188,188,106,271,65,65,0,141,141,85,198,1220,1220,14,0,317,11.31562525
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20586201,2,0,250,614,141,438,97,140,57,144,127,78,214,1140,1309,7,4,135,13.47170577
0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,20590098,3,0,557,700,178,873,166,97,272,134,125,61,214,1147,1226,26,8,126,15.17597224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20581081,1,0,495,495,224,1125,89,89,156,132,132,54,217,828,828,33,10,81,16.20953144
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20572366,3,0,602,814,541,660,182,108,0,123,111,48,206,896,1003,4,4,80,15.81875014
1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,20572367,3,0,704,950,482,1086,129,91,62,117,104,42,201,899,983,3,5,76,15.95472622
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,20578627,4,0,605,798,358,742,117,86,73,123,112,43,210,664,759,29,9,86,16.72250837
0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,20592865,4,0,440,766,131,637,101,44,58,139,125,59,227,743,764,17,14,73,16.67495291
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20587107,3,0,369,665,104,762,152,84,137,142,126,68,223,1014,1162,46,5,94,15.40174681
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20585991,1,4,1363,1363,1052,1971,96,96,199,90,90,10,186,583,583,18,26,104,17.84094278
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20576629,1,0,632,632,335,927,92,92,368,122,122,45,208,825,825,34,15,38,16.26845267
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,20567241,2,0,1037,1549,937,1187,67,113,148,99,72,23,185,828,1091,13,5,53,16.23162431
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20569727,4,0,741,1033,708,791,11,58,12,118,100,35,207,472,725,11,4,63,17.22534883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20569804,3,2,761,852,729,785,15,26,20,116,111,34,205,509,578,20,5,53,17.12820384
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,20603756,3,0,704,759,636,883,31,28,26,129,126,50,221,765,825,26,20,59,17.17305501
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,20593166,5,0,694,841,614,764,31,24,34,125,120,45,216,665,586,19,23,89,17.12333006
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,20603921,4,0,992,1411,925,1244,37,103,38,115,93,34,213,478,608,11,18,68,17.92430417
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,20599179,3,3,774,963,746,823,9,41,37,124,115,43,218,617,636,20,21,63,17.45242059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20592179,3,0,807,838,781,853,15,12,20,120,119,38,214,460,478,41,28,94,17.61509652
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20594338,3,1,848,1029,813,890,11,30,24,118,110,37,211,393,427,61,24,114,17.37436185
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20590338,4,0,790,1092,753,845,18,50,7,120,108,38,214,419,491,39,23,115,17.63004832
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,20579503,4,0,505,777,316,606,80,85,44,129,113,49,217,652,750,31,9,82,16.70570044
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20601759,1,9,1004,1004,791,1613,52,52,147,113,113,33,207,677,677,25,15,55,17.46303147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20575364,4,0,752,845,705,791,45,36,21,117,111,35,207,513,580,17,8,69,17.21380689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20566005,3,1,766,841,742,798,8,5,22,117,113,34,205,470,525,62,17,163,17.16395591
1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,20577798,4,0,362,797,257,436,57,97,27,138,112,61,221,836,962,16,6,78,15.95798673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20552769,3,0,1205,1460,1071,1502,123,163,84,89,75,17,171,809,952,5,14,55,15.43308896
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20566077,5,0,755,1135,740,769,3,76,13,117,94,34,205,487,746,22,18,100,17.05728299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20548774,2,0,1307,1528,1170,1721,113,160,63,84,71,14,163,891,1011,10,45,73,14.88031669
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20554325,3,0,966,1427,939,1085,35,156,46,104,77,27,187,658,925,10,33,87,16.02523543
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20558463,4,0,862,1246,811,977,22,130,23,111,86,31,194,568,799,13,21,86,16.23562503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20554528,4,0,1001,1373,893,1137,45,171,31,101,79,25,181,669,875,5,23,80,15.49983804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20549472,1,0,1383,1383,1043,1711,220,220,183,78,78,7,158,853,853,3,21,73,14.95597925
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20550087,3,0,1262,1502,1079,1615,263,193,335,86,72,13,166,811,926,6,30,69,15.22791149
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20561234,2,6,795,820,758,820,15,11,61,115,114,33,202,509,518,77,6,128,16.9081115
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20549093,2,0,1575,1717,1330,2114,152,169,110,67,59,-2,146,949,1011,3,23,31,14.77169622
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20557480,3,2,891,1116,869,932,16,82,20,108,94,30,189,601,722,11,27,89,15.92045877
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20564416,3,1,788,992,766,817,7,48,17,116,102,33,202,493,638,42,17,100,16.87013281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20573507,6,0,726,1036,679,771,26,65,13,119,100,36,209,427,671,33,14,108,17.38659577
0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,20560848,3,2,819,1035,802,856,8,45,19,112,99,31,193,570,682,32,31,96,16.1617607
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20576887,3,2,758,902,691,862,32,31,19,121,111,36,213,428,482,67,17,120,17.74824249
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20566010,1,5,1019,1019,890,1369,49,49,60,98,98,21,185,583,583,38,27,74,16.43560189
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20565086,4,1,815,985,781,911,35,47,7,111,99,30,196,533,623,46,27,143,16.60526583
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20564569,3,0,803,1201,789,831,5,78,15,116,90,31,199,507,737,34,20,103,16.9142558
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20574004,3,3,898,959,804,947,39,31,20,111,106,27,202,480,509,63,17,96,17.54531558
0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,20568473,5,0,768,1001,737,887,23,49,12,118,101,32,204,468,586,43,23,119,17.24545045
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20574879,1,6,821,821,712,859,12,12,89,118,118,32,208,441,441,58,16,126,17.60895268
